Argument ID	Self-direction: thought	Self-direction: action	Stimulation	Hedonism	Achievement	Power: dominance	Power: resources	Face	Security: personal	Security: societal	Tradition	Conformity: rules	Conformity: interpersonal	Humility	Benevolence: caring	Benevolence: dependability	Universalism: concern	Universalism: nature	Universalism: tolerance	Universalism: objectivity
C26001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
C26002	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1
C26003	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1
C26004	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0
C26005	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0
C26006	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	1	0
C26007	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
C26008	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
C26009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0
C26010	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
C26011	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
C26012	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
C26013	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0
C26014	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
C26015	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
C26016	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
C26017	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
C26018	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1
C26019	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0
C26020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C26021	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
C26022	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
C26023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
C26024	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0
C26025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C26026	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0
C26027	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
C26028	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0
